排名,国家/地区,GDP总量(人民币核算),所属洲,年份
排名第1,美国,￥42879.9504亿元,美洲国家,1980
排名第2,日本,￥16336.2892亿元,亚洲国家,1980
排名第3,德国,￥12742.61716亿元,欧洲国家,1980
排名第4,法国,￥10553.6347亿元,欧洲国家,1980
排名第5,英国,￥9005.03226亿元,欧洲国家,1980
排名第6,意大利,￥7244.20816亿元,欧洲国家,1980
排名第7,中国,￥4574.143亿元,亚洲国家,1980
排名第8,加拿大,￥4119.91944亿元,美洲国家,1980
排名第9,西班牙,￥3448.23122亿元,欧洲国家,1980
排名第10,阿根廷,￥3394.00362亿元,美洲国家,1980
排名第11,墨西哥,￥3297.098亿元,美洲国家,1980
排名第12,荷兰,￥2839.06952亿元,欧洲国家,1980
排名第13,印度,￥2837.78124亿元,亚洲国家,1980
排名第14,沙特阿拉伯,￥2464.8092亿元,亚洲国家,1980
排名第15,澳大利亚,￥2442.96836亿元,大洋州国家,1980
排名第16,巴西,￥2230.7467亿元,美洲国家,1980
排名第17,瑞典,￥2069.99632亿元,欧洲国家,1980
排名第18,比利时,￥1859.57226亿元,欧洲国家,1980
排名第19,瑞士,￥1781.93092亿元,欧洲国家,1980
排名第20,印度尼西亚,￥1487.45408亿元,亚洲国家,1980
排名第21,土耳其,￥1445.95948亿元,亚洲国家,1980
排名第22,伊朗,￥1397.57408亿元,亚洲国家,1980
排名第23,南非,￥1243.05538亿元,非洲国家,1980
排名第24,奥地利,￥1209.53014亿元,欧洲国家,1980
排名第25,丹麦,￥1065.6772亿元,欧洲国家,1980
排名第26,委内瑞拉,￥1046.21818亿元,美洲国家,1980
排名第27,韩国,￥977.02556亿元,亚洲国家,1980
排名第28,挪威,￥965.43104亿元,欧洲国家,1980
排名第29,波兰,￥848.15262亿元,欧洲国家,1980
排名第30,希腊,￥847.46354亿元,欧洲国家,1980
排名第31,芬兰,￥804.89038亿元,欧洲国家,1980
排名第32,哥伦比亚,￥700.82432亿元,美洲国家,1980
排名第33,阿尔及利亚,￥634.34308亿元,非洲国家,1980
排名第34,中国台湾,￥633.59408亿元,亚洲,1980
排名第35,阿闻酋,￥605.4167亿元,亚洲国家,1980
排名第36,利比亚,￥583.33618亿元,非洲国家,1980
排名第37,菲律宾,￥539.9541亿元,亚洲国家,1980
排名第38,泰国,￥500.66156亿元,亚洲国家,1980
排名第39,葡萄牙,￥488.51278亿元,欧洲国家,1980
排名第40,巴基斯坦,￥463.45124亿元,亚洲国家,1980
排名第41,中国香港,￥432.35276亿元,亚洲,1980
排名第42,智利,￥431.8734亿元,美洲国家,1980
排名第43,科威特,￥430.28552亿元,亚洲国家,1980
排名第44,越南,￥417.14806亿元,亚洲国家,1980
排名第45,马来西亚,￥395.20236亿元,亚洲国家,1980
排名第46,加纳,￥374.4251亿元,非洲国家,1980
排名第47,保加利亚,￥374.11052亿元,欧洲国家,1980
排名第48,以色列,￥357.03332亿元,亚洲国家,1980
排名第49,埃及,￥352.37454亿元,非洲国家,1980
排名第50,匈牙利,￥344.15052亿元,欧洲国家,1980
排名第51,孟加拉国,￥339.02736亿元,亚洲国家,1980
排名第52,新西兰,￥337.3496亿元,大洋州国家,1980
排名第53,摩洛哥,￥329.53004亿元,非洲国家,1980
排名第54,爱尔兰,￥320.58698亿元,欧洲国家,1980
排名第55,秘鲁,￥302.38628亿元,美洲国家,1980
排名第56,厄瓜多尔,￥252.2632亿元,美洲国家,1980
排名第57,波多黎各,￥216.25128亿元,美洲,1980
排名第58,叙利亚,￥194.4404亿元,亚洲国家,1980
排名第59,新加坡,￥180.94342亿元,亚洲国家,1980
排名第60,乌拉圭,￥167.76102亿元,美洲国家,1980
排名第61,肯尼亚,￥151.28302亿元,非洲国家,1980
排名第62,科特迪瓦,￥150.56398亿元,非洲国家,1980
排名第63,苏丹,￥148.33196亿元,非洲国家,1980
排名第64,突尼斯,￥143.29868亿元,非洲国家,1980
排名第65,多米尼加共和国,￥129.90656亿元,,1980
排名第66,卡塔尔,￥117.27842亿元,亚洲国家,1980
排名第67,喀麦隆,￥114.92656亿元,非洲国家,1980
排名第68,坦桑尼亚,￥111.03176亿元,非洲国家,1980
排名第69,埃塞俄比亚,￥110.6273亿元,非洲国家,1980
排名第70,危地马拉,￥109.63862亿元,美洲国家,1980
排名第71,卢森堡,￥96.7708亿元,欧洲国家,1980
排名第72,阿曼,￥95.00316亿元,亚洲国家,1980
排名第73,特立尼达和多巴哥,￥93.41528亿元,美洲国家,1980
排名第74,安哥拉,￥88.89132亿元,非洲国家,1980
排名第75,乌干达,￥86.41962亿元,非洲国家,1980
排名第76,莫桑比克,￥80.90698亿元,非洲国家,1980
排名第77,斯里兰卡,￥75.25952亿元,亚洲国家,1980
排名第78,加蓬,￥68.29382亿元,非洲国家,1980
排名第79,赞比亚,￥63.60508亿元,非洲国家,1980
排名第80,巴布亚新几内亚,￥62.28684亿元,大洋州国家,1980
排名第81,巴拉圭,￥61.3431亿元,美洲国家,1980
排名第82,黎巴嫩,￥61.02852亿元,亚洲国家,1980
排名第83,马达加斯加,￥60.54916亿元,非洲国家,1980
排名第84,巴拿马,￥60.50422亿元,美洲国家,1980
排名第85,约旦,￥58.54184亿元,亚洲国家,1980
排名第86,萨尔瓦多,￥58.40702亿元,美洲国家,1980
排名第87,巴林,￥53.82314亿元,亚洲国家,1980
排名第88,玻利维亚,￥53.76322亿元,美洲国家,1980
排名第89,洪都拉斯,￥52.54984亿元,美洲国家,1980
排名第90,塞内加尔,￥52.47494亿元,非洲国家,1980
排名第91,冰岛,￥51.63606亿元,欧洲国家,1980
排名第92,蒙古,￥47.75624亿元,亚洲国家,1980
排名第93,牙买加,￥38.4237亿元,美洲国家,1980
排名第94,尼日尔,￥37.58482亿元,非洲国家,1980
排名第95,几内亚,￥35.952亿元,非洲国家,1980
排名第96,塞浦路斯,￥34.66372亿元,亚洲国家,1980
排名第97,马拉维,￥32.14708亿元,非洲国家,1980
排名第98,布基纳法索,￥31.77258亿元,非洲国家,1980
排名第99,刚果,￥31.20334亿元,非洲国家,1980
排名第100,巴哈马,￥30.4843亿元,美洲国家,1980
排名第101,马里,￥30.42438亿元,非洲国家,1980
排名第102,尼泊尔,￥29.6604亿元,亚洲国家,1980
排名第103,阿尔巴尼亚,￥29.15108亿元,欧洲国家,1980
排名第104,老挝,￥28.65674亿元,亚洲国家,1980
排名第105,尼加拉瓜,￥27.44336亿元,美洲国家,1980
排名第106,塞拉利昂,￥25.48098亿元,非洲国家,1980
